concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
16,enemy_1_step_left,1,conv2d_1,0.0675,80000
17,enemy_1_step_right,1,conv2d_1,0.03500000000000003,80000
18,enemy_1_step_up,1,conv2d_1,0.02749999999999997,80000
19,enemy_1_step_down,1,conv2d_1,0.09499999999999997,80000
20,agent_against_left_wall,1,conv2d_1,0.16749999999999998,80000
21,agent_against_right_wall,1,conv2d_1,0.13,80000
22,agent_against_upper_wall,1,conv2d_1,0.15500000000000003,80000
23,agent_against_bottom_wall,1,conv2d_1,0.3425,80000
0,avo_above_agent,2,flatten,0.03249999999999997,80000
1,avo_right_of_agent,2,flatten,0.04249999999999998,80000
2,avo_below_agent,2,flatten,0.0,80000
3,avo_left_of_agent,2,flatten,0.0,80000
4,random_observation,2,flatten,0.01749999999999996,80000
5,enemy_close_to_agent,2,flatten,0.0,80000
6,avocado_visible,2,flatten,0.007499999999999951,80000
7,agent_close_to_avocado,2,flatten,0.02749999999999997,80000
8,enemy_within_3_left,2,flatten,0.02749999999999997,80000
9,enemy_within_3_right,2,flatten,0.007499999999999951,80000
10,enemy_within_3_up,2,flatten,0.02749999999999997,80000
11,enemy_within_3_down,2,flatten,0.007499999999999951,80000
12,enemy_2_steps_left,2,flatten,0.02749999999999997,80000
13,enemy_2_steps_right,2,flatten,0.03500000000000003,80000
14,enemy_2_steps_up,2,flatten,0.03249999999999997,80000
15,enemy_2_steps_down,2,flatten,0.01749999999999996,80000
16,enemy_1_step_left,2,flatten,0.01749999999999996,80000
17,enemy_1_step_right,2,flatten,0.030000000000000027,80000
18,enemy_1_step_up,2,flatten,0.06000000000000005,80000
19,enemy_1_step_down,2,flatten,0.03500000000000003,80000
20,agent_against_left_wall,2,flatten,0.125,80000
21,agent_against_right_wall,2,flatten,0.27749999999999997,80000
22,agent_against_upper_wall,2,flatten,0.08999999999999997,80000
23,agent_against_bottom_wall,2,flatten,0.37,80000
0,avo_above_agent,3,dense,0.09499999999999997,80000
1,avo_right_of_agent,3,dense,0.09999999999999998,80000
2,avo_below_agent,3,dense,0.15500000000000003,80000
3,avo_left_of_agent,3,dense,0.07250000000000001,80000
4,random_observation,3,dense,0.0,80000
5,enemy_close_to_agent,3,dense,0.255,80000
6,avocado_visible,3,dense,0.0024999999999999467,80000
7,agent_close_to_avocado,3,dense,0.25,80000
8,enemy_within_3_left,3,dense,0.24750000000000005,80000
9,enemy_within_3_right,3,dense,0.27749999999999997,80000
10,enemy_within_3_up,3,dense,0.29000000000000004,80000
11,enemy_within_3_down,3,dense,0.2825,80000
12,enemy_2_steps_left,3,dense,0.265,80000
13,enemy_2_steps_right,3,dense,0.385,80000
14,enemy_2_steps_up,3,dense,0.36250000000000004,80000
15,enemy_2_steps_down,3,dense,0.36,80000
16,enemy_1_step_left,3,dense,0.4125,80000
17,enemy_1_step_right,3,dense,0.4375,80000
18,enemy_1_step_up,3,dense,0.4,80000
19,enemy_1_step_down,3,dense,0.44499999999999995,80000
20,agent_against_left_wall,3,dense,0.16249999999999998,80000
21,agent_against_right_wall,3,dense,0.125,80000
22,agent_against_upper_wall,3,dense,0.19499999999999995,80000
23,agent_against_bottom_wall,3,dense,0.1925,80000
0,avo_above_agent,4,dense_1,0.012499999999999956,80000
1,avo_right_of_agent,4,dense_1,0.0024999999999999467,80000
2,avo_below_agent,4,dense_1,0.03249999999999997,80000
3,avo_left_of_agent,4,dense_1,0.0050000000000000044,80000
4,random_observation,4,dense_1,0.0,80000
5,enemy_close_to_agent,4,dense_1,0.12749999999999995,80000
6,avocado_visible,4,dense_1,0.0050000000000000044,80000
7,agent_close_to_avocado,4,dense_1,0.275,80000
8,enemy_within_3_left,4,dense_1,0.15500000000000003,80000
9,enemy_within_3_right,4,dense_1,0.1775,80000
10,enemy_within_3_up,4,dense_1,0.16749999999999998,80000
11,enemy_within_3_down,4,dense_1,0.13249999999999995,80000
12,enemy_2_steps_left,4,dense_1,0.15749999999999997,80000
13,enemy_2_steps_right,4,dense_1,0.23750000000000004,80000
14,enemy_2_steps_up,4,dense_1,0.19999999999999996,80000
15,enemy_2_steps_down,4,dense_1,0.15500000000000003,80000
16,enemy_1_step_left,4,dense_1,0.20499999999999996,80000
17,enemy_1_step_right,4,dense_1,0.25249999999999995,80000
18,enemy_1_step_up,4,dense_1,0.235,80000
19,enemy_1_step_down,4,dense_1,0.28,80000
20,agent_against_left_wall,4,dense_1,0.0,80000
21,agent_against_right_wall,4,dense_1,0.020000000000000018,80000
22,agent_against_upper_wall,4,dense_1,0.012499999999999956,80000
23,agent_against_bottom_wall,4,dense_1,0.0,80000
0,avo_above_agent,0,conv2d,0.022499999999999964,120000
1,avo_right_of_agent,0,conv2d,0.0,120000
2,avo_below_agent,0,conv2d,0.03749999999999998,120000
3,avo_left_of_agent,0,conv2d,0.030000000000000027,120000
