concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
2,avo_below_agent,0,conv2d,0.0,750000
3,avo_left_of_agent,0,conv2d,0.0,750000
4,random_observation,0,conv2d,0.004999999999999893,750000
5,enemy_close_to_agent,0,conv2d,0.004999999999999893,750000
6,avocado_visible,0,conv2d,0.0,750000
7,agent_close_to_avocado,0,conv2d,0.004999999999999893,750000
8,agent_next_to_wall,0,conv2d,0.0,750000
9,enemy_within_3_left,0,conv2d,0.004999999999999893,750000
10,enemy_within_3_right,0,conv2d,0.004999999999999893,750000
11,enemy_within_3_up,0,conv2d,0.0,750000
12,enemy_within_3_down,0,conv2d,0.0,750000
13,enemy_2_steps_left,0,conv2d,0.004999999999999893,750000
14,enemy_2_steps_right,0,conv2d,0.0,750000
15,enemy_2_steps_up,0,conv2d,0.0,750000
16,enemy_2_steps_down,0,conv2d,0.004999999999999893,750000
17,enemy_1_step_left,0,conv2d,0.004999999999999893,750000
18,enemy_1_step_right,0,conv2d,0.0,750000
19,enemy_1_step_up,0,conv2d,0.0,750000
20,enemy_1_step_down,0,conv2d,0.0,750000
21,agent_against_left_wall,0,conv2d,0.885,750000
22,agent_against_right_wall,0,conv2d,0.9299999999999999,750000
23,agent_against_upper_wall,0,conv2d,0.9450000000000001,750000
24,agent_against_bottom_wall,0,conv2d,0.8999999999999999,750000
0,avo_above_agent,1,conv2d_1,0.0,750000
1,avo_right_of_agent,1,conv2d_1,0.20999999999999996,750000
2,avo_below_agent,1,conv2d_1,0.0,750000
3,avo_left_of_agent,1,conv2d_1,0.0,750000
4,random_observation,1,conv2d_1,0.004999999999999893,750000
5,enemy_close_to_agent,1,conv2d_1,0.0,750000
6,avocado_visible,1,conv2d_1,0.004999999999999893,750000
7,agent_close_to_avocado,1,conv2d_1,0.3899999999999999,750000
8,agent_next_to_wall,1,conv2d_1,0.1100000000000001,750000
9,enemy_within_3_left,1,conv2d_1,0.0,750000
10,enemy_within_3_right,1,conv2d_1,0.004999999999999893,750000
11,enemy_within_3_up,1,conv2d_1,0.0,750000
12,enemy_within_3_down,1,conv2d_1,0.0,750000
13,enemy_2_steps_left,1,conv2d_1,0.0,750000
14,enemy_2_steps_right,1,conv2d_1,0.0,750000
15,enemy_2_steps_up,1,conv2d_1,0.004999999999999893,750000
16,enemy_2_steps_down,1,conv2d_1,0.0,750000
17,enemy_1_step_left,1,conv2d_1,0.004999999999999893,750000
18,enemy_1_step_right,1,conv2d_1,0.0,750000
19,enemy_1_step_up,1,conv2d_1,0.004999999999999893,750000
20,enemy_1_step_down,1,conv2d_1,0.0,750000
21,agent_against_left_wall,1,conv2d_1,0.8600000000000001,750000
22,agent_against_right_wall,1,conv2d_1,0.8500000000000001,750000
23,agent_against_upper_wall,1,conv2d_1,0.8200000000000001,750000
24,agent_against_bottom_wall,1,conv2d_1,0.845,750000
0,avo_above_agent,2,flatten,0.0,750000
1,avo_right_of_agent,2,flatten,0.20999999999999996,750000
2,avo_below_agent,2,flatten,0.0,750000
3,avo_left_of_agent,2,flatten,0.0,750000
4,random_observation,2,flatten,0.004999999999999893,750000
5,enemy_close_to_agent,2,flatten,0.0,750000
6,avocado_visible,2,flatten,0.004999999999999893,750000
7,agent_close_to_avocado,2,flatten,0.3899999999999999,750000
8,agent_next_to_wall,2,flatten,0.1100000000000001,750000
9,enemy_within_3_left,2,flatten,0.0,750000
10,enemy_within_3_right,2,flatten,0.004999999999999893,750000
11,enemy_within_3_up,2,flatten,0.0,750000
12,enemy_within_3_down,2,flatten,0.0,750000
13,enemy_2_steps_left,2,flatten,0.0,750000
14,enemy_2_steps_right,2,flatten,0.0,750000
15,enemy_2_steps_up,2,flatten,0.004999999999999893,750000
16,enemy_2_steps_down,2,flatten,0.0,750000
17,enemy_1_step_left,2,flatten,0.004999999999999893,750000
18,enemy_1_step_right,2,flatten,0.0,750000
19,enemy_1_step_up,2,flatten,0.004999999999999893,750000
20,enemy_1_step_down,2,flatten,0.0,750000
21,agent_against_left_wall,2,flatten,0.8600000000000001,750000
22,agent_against_right_wall,2,flatten,0.8500000000000001,750000
23,agent_against_upper_wall,2,flatten,0.8200000000000001,750000
24,agent_against_bottom_wall,2,flatten,0.845,750000
0,avo_above_agent,3,dense,0.6100000000000001,750000
1,avo_right_of_agent,3,dense,0.5549999999999999,750000
2,avo_below_agent,3,dense,0.5349999999999999,750000
3,avo_left_of_agent,3,dense,0.6200000000000001,750000
4,random_observation,3,dense,0.0,750000
5,enemy_close_to_agent,3,dense,0.5549999999999999,750000
6,avocado_visible,3,dense,0.665,750000
7,agent_close_to_avocado,3,dense,0.5,750000
